gene	process	TCGA-BH-A0B3	TCGA-BH-A0BM	TCGA-BH-A0E0	TCGA-BH-A0HK
AARS2	Translation	0.5209	-0.0718	1.4746	0.0914
ABCB7	Fe-S cluster biosynthesis	0.2299	-0.5258	-0.0182	-0.0207
ACAA2	Fatty acid beta-oxidation	0.4037	-0.7869	1.2680	-0.6245
ACAD10	Fatty acid beta-oxidation	-0.7253	-0.3159	-0.8437	-0.2203
ACAD8	Fatty acid beta-oxidation	-0.2828	-0.5188	-0.3001	-0.0659
ACAD9	Electron transport chain	0.7327	0.0317	1.6232	-0.0315
ACADL	Fatty acid beta-oxidation	-1.1638	-0.4749	-1.9374	-0.2724
ACADM	Fatty acid beta-oxidation	-0.2695	-0.0261	-0.4069	0.2331
ACADS	Fatty acid beta-oxidation	-1.6352	-0.2011	-1.2216	-0.6752
ACADSB	Fatty acid beta-oxidation	-2.7551	0.0468	-1.6356	-0.2086
ACADVL	Fatty acid beta-oxidation	-0.6014	-0.6356	-0.7099	-0.7032
ACO2	Tricarboxylic acid cycle	-0.1012	-0.0540	0.0000	0
ACSL1	Fatty acid beta-oxidation	-1.4815	1.2326	-0.0522	0.5176
ACSL3	Fatty acid beta-oxidation	0.3262	0.5386	-1.4954	-0.1208
ACSL4	Fatty acid beta-oxidation	0.8659	-1.2148	-2.0434	-0.3021
ACSL5	Fatty acid beta-oxidation	-0.2310	0.0213	2.6593	-1.2499
ACSM1	Fatty acid beta-oxidation	0	1.5146	-4.1410	-0.5899
ACSM3	Fatty acid beta-oxidation	-3.4962	-1.8630	0.6555	-0.8348
ACSM5	Fatty acid beta-oxidation	-4.1803	0.5918	-3.0333	-0.0190
ACSS1	Fatty acid beta-oxidation	-1.9003	0.8540	1.6456	0.7762
ACSS2	Fatty acid beta-oxidation	-0.9409	-0.0855	1.2775	0.3044
ACSS3	Fatty acid beta-oxidation	-2.0494	-0.1510	-2.3481	0.5490
AFG3L2	Mitochondrial Dynamics	0.4153	-0.2773	1.6475	-0.0649
AIFM1	Apoptosis	0.9232	0.6786	0.7547	0.2226
AK3	Replication & Transcription	-0.5481	-0.4524	0.3726	-0.0714
AK4	Replication & Transcription	0.1201	-0.7537	-1.1076	0.0292
ALAD	Heme Biosynthesis	-1.6058	0.7744	-1.7727	-0.1761
ALAS1	Heme Biosynthesis	0.8982	-0.2344	2.1437	0.6075
ALDOA	Glycolysis	2.0173	1.2296	0.0751	1.3626
ALDOC	Glycolysis	-1.2709	-1.7465	-1.8972	-0.6745
AMBRA1	Mitochondrial Dynamics	-0.0445	0.2257	-0.2296	-0.2072
ANP32A	Apoptosis	0.6270	0.3118	-0.7040	0.4667
APAF1	Apoptosis	-0.3522	-0.1222	-0.7420	0.3558
APEX1	Replication & Transcription	0.0670	-0.0905	-0.9417	0.5917
APEX2	Replication & Transcription	1.2846	-0.3998	1.5189	0.1018
APOPT1	Apoptosis	1.0232	0.2415	0.4641	0.8842
ARG2	Urea Cycle	0.3361	-0.3585	0.4516	-1.1702
ASL	Urea Cycle	0.0950	0.0295	-0.0397	0.1738
ASS1	Urea Cycle	0.7371	-0.1459	1.4488	-0.3563
ATAD3A	Translation	1.8624	-0.0129	1.2993	-0.0726
ATAD3B	Translation	0.6341	-0.0576	2.7128	-0.6101
ATP5A1	Electron transport chain	0.3680	-0.2105	0.1469	0.1395
ATP5B	Electron transport chain	0.3093	-0.1684	-0.1731	0.4806
ATP5C1	Electron transport chain	1.9546	0.5239	0.8494	0.7556
ATP5D	Electron transport chain	0.3486	1.3206	0.1527	0.2800
ATP5F1	Electron transport chain	1.0682	0.1508	0.2689	0.6242
ATP5G1	Electron transport chain	1.2614	0.5111	0.3836	0.8135
ATP5G2	Electron transport chain	-0.2635	0.7760	-0.6001	1.0496
ATP5G3	Electron transport chain	1.3583	0.1385	0.0786	0.0822
ATP5H	Electron transport chain	1.0521	1.1102	-0.3892	0.9441
ATP5I	Electron transport chain	0.5736	1.5001	0.2054	0.9920
