gene	process	TCGA-BH-A0B3	TCGA-BH-A0E0	TCGA-BH-A0BM	TCGA-BH-A0HK
AARS2	Translation	0.5209	1.4746	-0.0718	0.0914
ABCB7	Fe-S cluster biosynthesis	0.2299	-0.0182	-0.5258	-0.0207
ACAA2	Fatty acid beta-oxidation	0.4037	1.2680	-0.7869	-0.6245
ACAD10	Fatty acid beta-oxidation	-0.7253	-0.8437	-0.3159	-0.2203
ACAD8	Fatty acid beta-oxidation	-0.2828	-0.3001	-0.5188	-0.0659
ACAD9	Electron transport chain	0.7327	1.6232	0.0317	-0.0315
ACADL	Fatty acid beta-oxidation	-1.1638	-1.9374	-0.4749	-0.2724
ACADM	Fatty acid beta-oxidation	-0.2695	-0.4069	-0.0261	0.2331
ACADS	Fatty acid beta-oxidation	-1.6352	-1.2216	-0.2011	-0.6752
ACADSB	Fatty acid beta-oxidation	-2.7551	-1.6356	0.0468	-0.2086
ACADVL	Fatty acid beta-oxidation	-0.6014	-0.7099	-0.6356	-0.7032
ACO2	Tricarboxylic acid cycle	-0.1012	0.0000	-0.0540	0
ACSL1	Fatty acid beta-oxidation	-1.4815	-0.0522	1.2326	0.5176
ACSL3	Fatty acid beta-oxidation	0.3262	-1.4954	0.5386	-0.1208
ACSL4	Fatty acid beta-oxidation	0.8659	-2.0434	-1.2148	-0.3021
ACSL5	Fatty acid beta-oxidation	-0.2310	2.6593	0.0213	-1.2499
ACSM1	Fatty acid beta-oxidation	0	-4.1410	1.5146	-0.5899
ACSM3	Fatty acid beta-oxidation	-3.4962	0.6555	-1.8630	-0.8348
ACSM5	Fatty acid beta-oxidation	-4.1803	-3.0333	0.5918	-0.0190
ACSS1	Fatty acid beta-oxidation	-1.9003	1.6456	0.8540	0.7762
ACSS2	Fatty acid beta-oxidation	-0.9409	1.2775	-0.0855	0.3044
ACSS3	Fatty acid beta-oxidation	-2.0494	-2.3481	-0.1510	0.5490
AFG3L2	Mitochondrial Dynamics	0.4153	1.6475	-0.2773	-0.0649
AIFM1	Apoptosis	0.9232	0.7547	0.6786	0.2226
AK3	Replication & Transcription	-0.5481	0.3726	-0.4524	-0.0714
AK4	Replication & Transcription	0.1201	-1.1076	-0.7537	0.0292
ALAD	Heme Biosynthesis	-1.6058	-1.7727	0.7744	-0.1761
ALAS1	Heme Biosynthesis	0.8982	2.1437	-0.2344	0.6075
ALDOA	Glycolysis	2.0173	0.0751	1.2296	1.3626
ALDOC	Glycolysis	-1.2709	-1.8972	-1.7465	-0.6745
AMBRA1	Mitochondrial Dynamics	-0.0445	-0.2296	0.2257	-0.2072
ANP32A	Apoptosis	0.6270	-0.7040	0.3118	0.4667
APAF1	Apoptosis	-0.3522	-0.7420	-0.1222	0.3558
APEX1	Replication & Transcription	0.0670	-0.9417	-0.0905	0.5917
APEX2	Replication & Transcription	1.2846	1.5189	-0.3998	0.1018
APOPT1	Apoptosis	1.0232	0.4641	0.2415	0.8842
ARG2	Urea Cycle	0.3361	0.4516	-0.3585	-1.1702
ASL	Urea Cycle	0.0950	-0.0397	0.0295	0.1738
ASS1	Urea Cycle	0.7371	1.4488	-0.1459	-0.3563
ATAD3A	Translation	1.8624	1.2993	-0.0129	-0.0726
ATAD3B	Translation	0.6341	2.7128	-0.0576	-0.6101
ATP5A1	Electron transport chain	0.3680	0.1469	-0.2105	0.1395
ATP5B	Electron transport chain	0.3093	-0.1731	-0.1684	0.4806
ATP5C1	Electron transport chain	1.9546	0.8494	0.5239	0.7556
ATP5D	Electron transport chain	0.3486	0.1527	1.3206	0.2800
ATP5F1	Electron transport chain	1.0682	0.2689	0.1508	0.6242
ATP5G1	Electron transport chain	1.2614	0.3836	0.5111	0.8135
ATP5G2	Electron transport chain	-0.2635	-0.6001	0.7760	1.0496
ATP5G3	Electron transport chain	1.3583	0.0786	0.1385	0.0822
ATP5H	Electron transport chain	1.0521	-0.3892	1.1102	0.9441
ATP5I	Electron transport chain	0.5736	0.2054	1.5001	0.9920
ATP5J	Electron transport chain	0.5867	0.1049	0.6434	0.6885
ATP5L	Electron transport chain	1.2064	-0.2647	0.4178	-0.0221
