gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	4.57982	2.4014	-0.931414	0.4075
SAMD11	0.76342	0.472398	-0.692474	0.8015
KLHL17	0.54753	0.747829	0.449769	0.75575
ISG15	52.9416	44.5094	-0.250291	0.76945
AGRN	12.3257	11.8524	-0.0564972	0.94345
B3GALT6	9.70028	3.45457	-1.48952	0.12045
SCNN1D	0.346294	0.637829	0.88117	0.5314
PUSL1	8.11234	1.71522	-2.24172	0.4465
GLTPD1	47.4922	10.8946	-2.12408	0.0166
LOC148413	10.4922	3.74443	-1.48649	0.5237
VWA1	40.1668	7.84724	-2.35575	0.00605
ATAD3C	0.694123	0.220531	-1.65421	0.24985
ATAD3B	2.92606	0.963872	-1.60204	0.204
ATAD3A	6.35864	4.2599	-0.577899	0.54255
MIB2	6.32439	4.12617	-0.616124	0.4937
MMP23B	0.214312	0.609365	1.50759	0.3303
GABRD	0.0266143	3.05796	6.84423	0.21685
PRKCZ	2.7952	3.09116	0.145194	0.92625
SKI	8.03986	4.20666	-0.934495	0.26465
RER1	37.8656	20.7183	-0.86998	0.3587
TNFRSF14	23.6879	12.7071	-0.898511	0.29155
FAM213B	3.44796	3.1096	-0.149015	0.8854
ARHGEF16	0.972765	1.04695	0.106035	0.93055
TPRG1L	44.6737	24.7642	-0.851169	0.3119
LOC388588	8.97314	1.93263	-2.21505	0.12235
DFFB	0.397748	0.319131	-0.317708	0.8317
LOC100133612	0.152965	0.390786	1.35318	0.4087
KCNAB2	7.48068	1.29591	-2.52921	0.02515
RNF207	0.509341	0.880341	0.789432	0.8398
ESPN	24.6292	23.8551	-0.0460716	0.95755
ZBTB48	4.3414	3.11844	-0.477338	0.6327
PHF13	6.23796	1.73717	-1.84434	0.06375
THAP3	5.06641	3.33409	-0.603669	0.8062
CAMTA1	53.7781	24.2281	-1.15034	0.20345
VAMP3	16.9532	13.9976	-0.276372	0.73785
PER3	3.09206	3.39109	0.133178	0.8749
PARK7	254.254	160.596	-0.662838	0.45415
SLC45A1	0.107125	0.416438	1.95881	0.26475
ENO1-AS1	0.325784	0.118301	-1.46145	0.01425
H6PD	11.9556	13.7393	0.200621	0.81165
SPSB1	37.419	4.96533	-2.91381	0.00285
SLC25A33	11.1221	5.3808	-1.04754	0.2708
