gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	3.93714	7.81158	0.988468	0.4503
SAMD11	1.89212	0.00927015	-7.6732	0.1357
KLHL17	1.55773	2.31739	0.573063	0.71935
PLEKHN1	0.193673	0.0102282	-4.24301	0.23975
ISG15	52.2003	75.5462	0.533301	0.60765
AGRN	11.4381	18.6765	0.707369	0.46125
B3GALT6	9.35268	18.1312	0.95502	0.3637
SCNN1D	0.952031	9.75474	3.35702	0.036
PUSL1	5.32781	11.1417	1.06435	0.74405
GLTPD1	22.1795	54.5772	1.29907	0.1874
LOC148413	9.341	20.8206	1.15636	0.56785
VWA1	13.502	61.6142	2.19009	0.0283
ATAD3C	2.34456	12.6651	2.43347	0.0471
ATAD3B	2.78995	3.98455	0.514179	0.71775
ATAD3A	6.27102	15.7877	1.33203	0.2375
MIB2	5.57638	15.6819	1.4917	0.1836
MMP23B	0.366407	0.182031	-1.00926	0.56785
GABRD	0.344567	2.89926	3.07283	0.10345
PRKCZ	4.72286	5.93471	0.329517	0.8629
SKI	9.89996	11.1803	0.175469	0.85395
RER1	30.0838	41.2603	0.455767	0.6752
PLCH2	0.509304	0.193218	-1.3983	0.42765
TNFRSF14	57.4409	66.9232	0.220427	0.8107
FAM213B	7.50817	14.1907	0.918415	0.4084
PRDM16	0.234896	0.0269944	-3.12129	0.1231
ARHGEF16	1.54809	2.08978	0.43286	0.7741
TPRG1L	40.9852	42.7548	0.060982	0.9467
TP73	0.366855	2.18188	2.57229	0.33995
LOC388588	5.85327	13.3844	1.19324	0.4544
DFFB	0.763949	0.836284	0.130516	0.93485
LOC100133612	0.120367	0.216314	0.845681	0.67735
AJAP1	0.255145	0.0126187	-4.33768	0.18715
KCNAB2	16.0103	2.31217	-2.79168	0.0294
RNF207	1.47403	1.53604	0.0594506	0.98335
ESPN	15.7678	113.533	2.84805	0.0057
ZBTB48	6.83973	13.6872	1.00082	0.36175
PHF13	5.53923	4.19461	-0.401148	0.7228
THAP3	5.4621	9.53757	0.804166	0.7634
CAMTA1	56.0474	61.0887	0.124258	0.90625
VAMP3	21.8108	17.0674	-0.353801	0.7129
PER3	3.85603	5.55932	0.527794	0.5936
PARK7	243.039	411.037	0.758081	0.43805
SLC45A1	0.409179	0.451264	0.141239	0.94185
ENO1-AS1	0.362902	0.29019	-0.322583	0.0142
H6PD	23.4639	13.0046	-0.85142	0.3773
SPSB1	10.3928	12.0351	0.211664	0.8312
SLC25A33	10.6996	32.4927	1.60256	0.13305
TMEM201	1.60608	2.31832	0.529539	0.7017
PIK3CD	11.5266	0.73001	-3.9809	0.2275
NMNAT1	1.73949	2.68646	0.627046	0.6144
RBP7	11.513	34.0874	1.56598	0.20185
UBE4B	5.0048	4.20848	-0.250013	0.80455
KIF1B	2.58961	2.46804	-0.069372	0.94625
PGD	41.9099	47.5014	0.180678	0.8437
APITD1	4.11598	9.2736	1.17189	0.3493
APITD1-CORT	4.11598	9.2736	1.17189	0.3493
CORT	4.11598	9.2736	1.17189	0.3493
PEX14	16.818	38.2557	1.18567	0.2397
TARDBP	15.3428	15.99	0.0596072	0.95035
UBIAD1	4.76985	6.50058	0.446625	0.6741
FBXO44	4.99019	15.1021	1.59758	0.3507
FBXO6	14.6466	29.079	0.989417	0.34345
AGTRAP	30.463	43.211	0.504341	0.62005
CLCN6	2.74009	2.52652	-0.117072	0.92345
PLOD1	46.0396	140.285	1.60742	0.1124
MFN2	22.8184	23.4835	0.0414533	0.96575
MIIP	11.7458	18.7562	0.675218	0.5264
TNFRSF8	0.839491	0.166832	-2.33112	0.21295
TNFRSF1B	36.2072	10.4303	-1.79549	0.07
VPS13D	2.26662	1.69731	-0.417289	0.66945
PDPN	0.308861	0.195626	-0.65886	0.7093
PRDM2	4.48557	2.19091	-1.03376	0.398
KAZN	2.19863	0.188679	-3.5426	0.08415
TMEM51	6.32122	1.89633	-1.73699	0.20905
FHAD1	0.120045	0.345391	1.52466	0.3987
EFHD2	43.1624	44.5651	0.0461378	0.96115
DNAJC16	2.98203	3.53747	0.246421	0.92235
DDI2	3.40008	3.22592	-0.0758606	0.9531
RSC1A1	3.40008	3.22592	-0.0758606	0.9531
PLEKHM2	15.1681	12.3708	-0.294098	0.7594
SLC25A34	0.696146	2.01159	1.53087	0.3343
TMEM82	16.635	73.5591	2.14468	0.0461
FBLIM1	5.78939	6.90411	0.254045	0.81595
SPEN	3.52057	2.85772	-0.300944	0.75785
C1orf144	26.035	32.6308	0.325784	0.7282
NECAP2	37.466	22.0587	-0.764235	0.4294
MST1P2	8.47918	14.1395	0.737732	0.4881
CROCC	1.78075	3.42304	0.942791	0.43465
PADI1	0.0104933	3.66997	8.45016	0.2032
ARHGEF10L	18.0883	43.9745	1.28161	0.18045
IGSF21	0.540025	1.06871	0.984773	0.5947
KLHDC7A	1.02595	2.97405	1.53547	0.2398
MRTO4	8.39364	15.6045	0.894591	0.39165
PQLC2	10.2352	14.7301	0.525235	0.6332
