GENENAME	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
ACADM	0	0	0.1240628	0
MRPS14	0	0	-1.826681	0
SH3GLB1	0	0	0.2031365	0
GCLM	0	0	0.4783663	0
CPT2	0	0	-0.03773358	0
MRPL20	0	0	-0.3217924	0
TIMM17A	0	0	0.2373875	0
AK4	0	0	0.8341588	0
SDHC	0	0	-0.5553253	0
IARS2	0	0	0.3458028	0
DAP3	0	0	-0.3384529	0
TARS2	0	0	-0.5631581	0
SHC1	0	0	0.04101622	0
WARS2	0	0	0.2182685	0
NDUFS2	0	0	-1.375123	0
KIF1B	0	0	0.07874646	0
ATP5F1	0	0	0.09920075	0
MCL1	0	0	-0.227914	0
PPOX	0	0	-0.2607483	0
TFB2M	0	0	-0.1889072	0
C1orf31	0	0	-0.2103733	0
DARS2	0	0	-0.4556494	0
COX20	0	0	0.07084535	0
MRPL37	0	0	-0.1176951	0
NDUFS5	0	0	-2.918233	0
SLC2A1	0	0	0.2180612	0
SDHB	0	0	-0.7088494	0
UQCRH	0	0	0.3312092	0
FH	0	0	-0.1593708	0
UROD	0	0	0.1785184	0
MSTO1	0	0	-0.1871343	0
MRPL9	0	0	-0.3200802	0
YRDC	0	0	-0.9728411	0
MRPL55	0	0	0.4107351	0
ENO1	0	0	0.04005188	0
MRPL24	0	0	-0.02871055	0
MRPS15	0	0	-1.056792	0
ATPIF1	0	0	-0.2382977	0
MFN2	0	0	0.07985909	0
ENO1	0	0	-0.1200864	0
HTRA2	0	0	0.145733	0
BCS1L	0	0	-0.3535491	0
DGOUK	0	0	0	0
CIAO1	0	0	0.05898378	0
MRPL44	0	0	0.009800262	0
CPS1	0	0	0.4827546	0
COX5B	0	0	-2.456333	0
HADHB	0	0	0.4744723	0
MFF	0	0	-0.02517067	0
MRPL19	0	0	-0.1263122	0
IDH1	0	0	0.6615242	0
CREB1	0	0	0	0
NDUFA10	0	0	-2.028357	0
ACSL3	0	0	-0.27453	0
HADHA	0	0	0.4454406	0
MRPL53	0	0	0.3813516	0
HK2	0	0	0.06420842	0
NFU1	0	0	-0.2462256	0
MRPS5	0	0	-0.7990044	0
MRPL35	0	0	0.153623	0
NDUFB3	0	0	-1.773912	0
NDUFS1	0	0	-1.997581	0
MRPS9	0	0	-0.6228366	0
LRPPRC	0	0	-0.10742	0
PTCD3	0	0	-0.8115533	0
SUCLG1	0	0	-0.2281107	0
MTERFD2	0	0	0.04073436	0
PDHB	0	0	0.06289662	0
OPA1	0	0	0.04562503	0
MRPL3	0	0	0.04562503	0
MRPS22	0	0	-0.3817263	0
MRPS25	0	0	-0.3041606	0
NDUFB5	0	0	-1.081917	0
UQCRC1	0	0	-1.720103	0
SLC25A20	0	0	0	0
LARS2	0	0	0.2687473	0
TOMM70A	0	0	-0.1047392	0
MRPL47	0	0	-0.05172011	0
SUCLG2	0	0	0.07545923	0
RG9MTD1	0	0	0.07407661	0
ACAD9	0	0	-0.1981169	0
GFM1	0	0	0.0148056	0
CHCHD4	0	0	0.08148923	0
ITPR1	0	0	1.19856	0
NDUFB4	0	0	-2.616052	0
TRNT1	0	0	0.2487076	0
MFN1	0	0	-0.2211965	0
DNAJC19	0	0	0	0
NDUFAF3	0	0	0.4169841	0
DHX30	0	0	0.10785	0
ACAD11	0	0	0.5891163	0
GPX1	0	0	-0.02786176	0
ACSL1	0	0	0.2037844	0
LETM1	0	0	-0.03773358	0
SLC25A4	0	0	0.3806152	0
PET112	0	0	-0.09071803	0
GRPEL1	0	0	0.3290872	0
ATP5I	0	0	0.1222086	0
CASP3	0	0	0.1811494	0
HADH	0	0	-0.2167342	0
MRPL1	0	0	-0.2221863	0
HSPA9	0	0	0.245523	0
MRPS30	0	0	0.08130837	0
NDUFS4	0	0	-2.315016	0
COX7C	0	0	-2.080794	0
MRPS27	0	0	-0.3092926	0
NDUFS6	0	0	-2.615769	0
HARS2	0	0	-0.004033898	0
NDUFAF2	0	0	-0.2879452	0
GFM2	0	0	0.4128644	0
SQSTM1	0	0	0.1480492	0
VDAC1	0	0	0.2561489	0
NDUFA2	0	0	-1.440474	0
SDHA	0	0	-0.5985557	0
NSUN2	0	0	-0.1773438	0
MRPL22	0	0	0	0
BCKDHB	0	0	0.1986261	0
CDKAL1	0	0	-0.02531225	0
SOD2	0	0	-0.03660875	0
NDUFAF4	0	0	-0.09700833	0
COX7A2	0	0	-3.927135	0
MNF1	0	0	0.1325146	0
MRPS10	0	0	-0.5366498	0
GCLC	0	0	0.9056017	0
TFB1M	0	0	0.3744302	0
ITPR3	0	0	0.8070231	0
TOMM6	0	0	0.0881765	0
AARS2	0	0	-0.04208399	0
MRPL2	0	0	0.1198745	0
MRPL14	0	0	-0.2319238	0
TRMT11	0	0	0.08913857	0
RARS2	0	0	0.2006806	0
FIS1	0	0	0.02793973	0
NDUFA4	0	0	-3.064745	0
DLD	0	0	-0.2020102	0
OGDH	0	0	0.2466522	0
ASL	0	0	0.719115	0
ATP5J2	0	0	0.01965299	0
MDH2	0	0	0.4351633	0
NDUFA5	0	0	-1.107621	0
PPIA	0	0	-0.04586228	0
CYCS	0	0	0.5274915	0
MRPS33	0	0	-2.147333	0
GARS	0	0	0	0
PMPCB	0	0	0.3025465	0
PPIA	0	0	-0.1768333	0
DECR1	0	0	0.4029885	0
FABP5	0	0	0.2700687	0
COX6C	0	0	-3.232001	0
GSR	0	0	0.6356068	0
MRPS28	0	0	-0.6602897	0
MRPL13	0	0	-0.01149568	0
MRPL15	0	0	-0.2021357	0
BNIP3L	0	0	0	0
CYC1	0	0	0.3660946	0
VDAC3	0	0	0.1848673	0
RRM2B	0	0	1.749426	0
MTERFD1	0	0	0	0
UQCRB	0	0	-2.375874	0
NDUFB9	0	0	-2.96643	0
SIGMAR1	0	0	0.1996861	0
MRPS2	0	0	0	0
CRAT	0	0	0.2532745	0
SURF1	0	0	0	0
PMPCA	0	0	0.2438649	0
MRPL41	0	0	-0.09071803	0
NDUFA8	0	0	-2.198714	0
NDUFB6	0	0	-0.9357615	0
MRPL50	0	0	-0.04795714	0
ISCA1	0	0	0.166357	0
STOML2	0	0	-0.406972	0
SLC27A4	0	0	0.1910631	0
DNM1	0	0	0.2927933	0
ALAD	0	0	0.7165997	0
AK3	0	0	0.3942592	0
PFKP	0	0	-0.3960498	0
KIF5B	0	0	0.007927733	0
HK1	0	0	0.5952277	0
TFAM	0	0	-0.2002533	0
VDAC2	0	0	-0.4162318	0
ACADSB	0	0	0.02973527	0
PRDX3	0	0	0.2854072	0
ECHS1	0	0	0.1489766	0
PPIF	0	0	0.1360774	0
MRPS16	0	0	0.06809449	0
YME1L1	0	0	-0.3081279	0
MTPAP	0	0	-0.05880137	0
MMS19	0	0	0.1217849	0
VDAC2	0	0	0.4243971	0
CASP7	0	0	-0.2861716	0
ATP5C1	0	0	0.1238898	0
COX15	0	0	0.4609654	0
UROS	0	0	0.3455277	0
MRPL16	0	0	-0.02587928	0
TIMM10	0	0	-0.1174291	0
TIMM8B	0	0	0.3525842	0
MRPL11	0	0	-0.2262619	0
TRMT112	0	0	-0.07409438	0
CHCHD8	0	0	0	0
NDUFS8	0	0	-1.646117	0
MRPL49	0	0	-0.1305355	0
SDHAF2	0	0	0.5719644	0
DLAT	0	0	-0.1662012	0
BAD	0	0	0.2228854	0
NDUFS3	0	0	-1.263575	0
ATP5L	0	0	0.3875437	0
NDUFV1	0	0	-2.075225	0
NDUFC2	0	0	-3.057415	0
CPT1A	0	0	0.4483708	0
NARS2	0	0	0	0
EIF3M	0	0	-0.1845976	0
MRPL17	0	0	-0.08719123	0
PTPMT1	0	0	0.8849401	0
LDHA	0	0	0.1146131	0
GSTP1	0	0	0.4260244	0
MRPL23	0	0	-0.1521185	0
MRPL48	0	0	-0.2027625	0
PDHX	0	0	-0.2485348	0
MRPL21	0	0	0.09682291	0
FOXRED1	0	0	0	0
PUS1	0	0	-0.2722621	0
NDUFA9	0	0	-1.411914	0
NDUFA12	0	0	-2.313362	0
DIABLO	0	0	-0.1654296	0
DYNLL1	0	0	-0.09909322	0
TSFM	0	0	-0.04390439	0
ISCU	0	0	0.6738998	0
MRPL42	0	0	0.2561662	0
APAF1	0	0	-0.1465248	0
CS	0	0	-0.06253619	0
PHB2	0	0	-0.1237986	0
ITPR2	0	0	0.1546023	0
