gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	3.01845	4.06821	0.430584	0.74815
SAMD11	1.64048	0.0460398	-5.15509	0.20315
KLHL17	0.777338	1.04323	0.424447	0.7982
PLEKHN1	0.146243	0.280785	0.941096	0.62205
ISG15	348.197	122.267	-1.50987	0.11915
AGRN	22.2579	10.8729	-1.03359	0.2756
B3GALT6	7.70166	8.12852	0.0778223	0.935
SCNN1D	1.30599	0.889573	-0.55396	0.70405
PUSL1	4.0935	6.03876	0.560919	0.87875
GLTPD1	41.6398	20.439	-1.02664	0.2547
LOC148413	10.8148	8.63781	-0.324265	0.85535
VWA1	26.9405	24.5685	-0.132966	0.8893
ATAD3C	0.552469	0.208256	-1.40753	0.42985
ATAD3B	1.6778	2.68921	0.680612	0.6192
ATAD3A	4.92877	7.88489	0.677864	0.5024
MIB2	7.39323	6.36699	-0.215595	0.81795
MMP23B	0.714468	0.031765	-4.49136	0.156
GABRD	0.11305	1.89551	4.06755	0.084
PRKCZ	6.05753	2.61776	-1.21039	0.4361
SKI	12.6968	12.7222	0.00288159	0.99645
RER1	40.5793	38.6573	-0.0700044	0.9467
PLCH2	0.458122	0.143594	-1.67374	0.348
TNFRSF14	27.7409	17.7339	-0.645499	0.4762
FAM213B	4.26228	5.89694	0.468343	0.65745
ARHGEF16	2.52741	8.49473	1.74891	0.10935
TPRG1L	47.5873	69.2671	0.541592	0.5677
TP73	0.0891538	0.57577	2.69113	0.31205
LOC388588	9.1851	0.933355	-3.2988	0.0936
DFFB	0.640003	0.92012	0.523744	0.75365
LOC100133612	0.0659518	0.304942	2.20905	0.33415
AJAP1	0.294728	0.0311375	-3.24266	0.17445
KCNAB2	7.86809	29.3235	1.89797	0.05415
RNF207	1.10242	1.11045	0.010474	0.994
ESPN	26.8155	16.0605	-0.739544	0.40915
ZBTB48	7.06518	4.3955	-0.684699	0.50525
PHF13	3.46502	4.01434	0.212301	0.83915
THAP3	4.04315	5.55354	0.457925	0.87645
CAMTA1	39.1871	32.1915	-0.283702	0.76875
VAMP3	20.8706	25.0507	0.263378	0.7656
PER3	1.53675	3.01191	0.970801	0.35125
PARK7	192.899	164.029	-0.233889	0.80875
H6PD	37.4054	44.2928	0.243826	0.82735
SPSB1	19.6192	11.3261	-0.792616	0.38115
SLC25A33	10.4594	11.4473	0.130199	0.8973
TMEM201	1.18859	2.1352	0.845121	0.4975
PIK3CD	3.54309	0.493811	-2.84298	0.21625
NMNAT1	2.33747	2.64692	0.179365	0.86565
RBP7	5.75785	26.7552	2.21622	0.0835
UBE4B	6.72265	9.46567	0.493673	0.5811
KIF1B	4.36849	9.3143	1.09231	0.24255
PGD	40.8587	66.867	0.710648	0.44005
APITD1	4.68145	6.31533	0.4319	0.7092
APITD1-CORT	4.68145	6.31533	0.4319	0.7092
CORT	4.68145	6.31533	0.4319	0.7092
PEX14	21.3921	10.6928	-1.00043	0.28515
TARDBP	15.6715	22.426	0.517028	0.56535
UBIAD1	5.72401	8.6196	0.590593	0.5236
FBXO44	3.96885	3.32737	-0.254338	0.83745
FBXO6	13.4353	8.09038	-0.731746	0.4754
AGTRAP	15.1204	13.4777	-0.165925	0.8678
CLCN6	2.06788	2.50592	0.277191	0.78985
PLOD1	48.2518	47.1348	-0.0337902	0.97325
MFN2	29.1409	27.8452	-0.0656145	0.94525
MIIP	7.16103	10.5886	0.564276	0.5743
TNFRSF1B	14.9916	4.58314	-1.70974	0.07035
VPS13D	4.11572	3.87537	-0.0868091	0.92585
PDPN	0.245278	0.0205195	-3.57935	0.14015
PRDM2	3.05111	2.32506	-0.39207	0.7069
KAZN	1.63299	0.233166	-2.80809	0.11565
TMEM51	2.15045	0.778004	-1.46679	0.34655
EFHD2	23.654	8.50753	-1.47527	0.12095
CTRC	0.0504686	0.518459	3.36077	0.30025
DNAJC16	4.7839	4.55317	-0.0713156	0.9753
DDI2	6.80174	5.63862	-0.270561	0.77965
RSC1A1	6.80174	5.63862	-0.270561	0.77965
PLEKHM2	9.8932	11.994	0.2778	0.75965
SLC25A34	0.47509	0.487472	0.0371196	0.9818
TMEM82	22.4122	1.01207	-4.4689	0.0169
FBLIM1	3.82329	2.06764	-0.886835	0.435
SPEN	5.26764	4.89524	-0.105775	0.9077
