GENENAME	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
LOC100132062,LOC100133331	2.67834	2.62969	-0.0264431	0.86555
LOC643837	6.98644	6.8927	-0.0194894	0.9041
SAMD11	3.57241	4.31995	0.274115	0.67795
KLHL17	12.4087	11.6033	-0.0968072	0.47805
PLEKHN1	2.00506	2.39547	0.25666	0.1639
ISG15	95.9159	95.3144	-0.00907547	0.94325
AGRN	12.8755	12.7484	-0.0143037	0.91165
B3GALT6	9.10428	9.84808	0.113298	0.4177
SCNN1D	1.1797	1.22898	0.0590385	0.77165
PUSL1	17.8764	16.6561	-0.102008	0.73715
GLTPD1	6.79373	8.28668	0.286589	0.05015
LOC148413	11.1648	11.1788	0.00180277	0.9953
TMEM88B	0.816716	0.553711	-0.560702	0.3472
VWA1	10.1801	11.9848	0.235458	0.07045
ATAD3C	0.943232	0.997925	0.0813186	0.6896
ATAD3B	16.999	15.7971	-0.105794	0.43825
ATAD3A	30.7126	29.414	-0.0623268	0.63895
MIB2	13.615	13.8508	0.0247675	0.85355
MMP23B	0.340535	0.531527	0.642342	0.12975
CALML6	0.496215	0.543457	0.131202	0.7388
GABRD	7.18576	7.63864	0.0881749	0.56065
PRKCZ	17.5284	17.4985	-0.00246549	0.9888
SKI	22.491	24.1456	0.102409	0.4104
RER1	29.705	30.5798	0.0418749	0.78425
PLCH2	0.790249	0.638639	-0.307306	0.1345
FAM213B	14.2669	15.8754	0.154124	0.2892
ACTRT2	1.51334	1.98284	0.389831	0.0949
PRDM16	1.26562	1.07336	-0.237716	0.13535
ARHGEF16	12.9778	13.9884	0.108184	0.4128
TPRG1L	33.6617	36.9764	0.135497	0.2888
TP73	6.98236	7.81347	0.162249	0.2304
LOC388588	3.21657	3.32115	0.0461573	0.8709
DFFB	5.42529	5.28403	-0.0380606	0.798
LOC284661	0.987851	0.840561	-0.232941	0.3698
KCNAB2	6.28134	5.72656	-0.133403	0.4625
