gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	5.56888	1.88141	-1.56558	0.27365
SAMD11	1.07388	0.0377602	-4.82983	0.30135
KLHL17	0.775253	1.41628	0.869372	0.5995
PLEKHN1	0.0989087	0.235208	1.24977	0.4959
ISG15	48.1551	99.1481	1.0419	0.26925
AGRN	11.9815	10.5361	-0.185472	0.82695
B3GALT6	6.79427	7.803	0.199712	0.8479
SCNN1D	1.05724	2.45045	1.21274	0.38965
PUSL1	3.19126	2.16802	-0.557747	0.89205
GLTPD1	32.8269	12.8527	-1.35281	0.151
LOC148413	8.73902	4.19402	-1.05914	0.6605
VWA1	12.4898	6.71934	-0.894358	0.32895
ATAD3C	0.651627	0.142704	-2.19102	0.2255
ATAD3B	1.70727	1.21019	-0.49646	0.75185
ATAD3A	5.62778	4.62803	-0.28217	0.80375
MIB2	8.45379	5.66281	-0.57808	0.57565
CALML6	0.103353	0.471691	2.19026	0.3155
GABRD	0.144476	1.87195	3.69563	0.0837
PRKCZ	5.77256	3.54614	-0.702963	0.6729
SKI	11.2725	6.78579	-0.732221	0.4061
RER1	41.1707	21.9774	-0.905598	0.36875
PLCH2	0.244066	0.128036	-0.930721	0.5978
TNFRSF14	27.592	19.5386	-0.497922	0.5967
FAM213B	3.87713	2.3763	-0.706271	0.5938
ARHGEF16	1.37599	1.8176	0.401566	0.78335
TPRG1L	51.9647	21.5549	-1.26952	0.15585
TP73	0.057476	1.41738	4.62412	0.12885
LOC388588	7.97644	5.45801	-0.547368	0.7434
DFFB	1.14002	0.649844	-0.810893	0.60475
LOC100133612	0.132683	0.377585	1.50882	0.438
AJAP1	0.398481	0.0745366	-2.41849	0.2426
KCNAB2	6.59104	1.45432	-2.18016	0.08935
RNF207	1.17557	1.98788	0.757871	0.78055
ESPN	16.8721	38.0379	1.1728	0.17525
ZBTB48	6.3915	4.96954	-0.363043	0.7397
PHF13	5.29229	2.55841	-1.04865	0.35185
THAP3	3.9463	4.90799	0.314632	0.9147
CAMTA1	51.0798	39.7393	-0.362187	0.7175
VAMP3	23.784	19.5122	-0.285616	0.73875
PER3	7.21544	2.44237	-1.56281	0.11805
PARK7	279.568	163.123	-0.777241	0.3762
SLC45A1	0.228026	0.387158	0.763727	0.6712
ENO1-AS1	0.164321	0.387959	1.23939	0.01285
H6PD	26.5656	17.9458	-0.565908	0.5301
SPSB1	15.6042	6.83093	-1.19178	0.2135
SLC25A33	15.5524	16.3586	0.0729136	0.9408
TMEM201	1.38145	2.22249	0.68599	0.59245
PIK3CD	2.39642	0.951375	-1.3328	0.56375
NMNAT1	2.30185	2.15583	-0.0945494	0.9345
RBP7	2.77325	69.0231	4.63743	0.01135
UBE4B	7.23455	7.30203	0.0133941	0.9881
KIF1B	5.29945	3.43462	-0.625691	0.488
PGD	30.4388	43.6489	0.520032	0.54645
APITD1	3.91452	7.72175	0.980094	0.4158
APITD1-CORT	3.91452	7.72175	0.980094	0.4158
CORT	3.91452	7.72175	0.980094	0.4158
PEX14	20.6496	19.4821	-0.083962	0.9269
TARDBP	23.8271	17.3201	-0.460151	0.58825
UBIAD1	6.20448	7.94375	0.356511	0.7058
FBXO44	3.13944	10.7463	1.77526	0.24905
FBXO6	6.26909	19.3984	1.62961	0.1377
AGTRAP	12.3759	30.5121	1.30185	0.20325
CLCN6	2.54757	2.73766	0.103821	0.9262
PLOD1	50.6145	72.789	0.524171	0.55575
MFN2	31.1779	19.703	-0.662109	0.44385
MIIP	8.77085	14.8788	0.762474	0.45655
TNFRSF1B	14.0104	28.0143	0.999669	0.25005
VPS13D	2.97071	1.70222	-0.803385	0.3712
PRDM2	3.05106	2.44784	-0.317799	0.7735
KAZN	4.10017	0.305643	-3.74576	0.03655
TMEM51	3.20395	1.23383	-1.3767	0.34565
FHAD1	0.222383	0.265183	0.253941	0.87615
EFHD2	23.6363	23.9389	0.0183547	0.9824
DNAJC16	5.1997	2.4415	-1.09066	0.6145
DDI2	8.28065	5.6996	-0.538884	0.59175
RSC1A1	8.28065	5.6996	-0.538884	0.59175
PLEKHM2	9.59503	12.367	0.366139	0.68435
SLC25A34	0.594696	3.68523	2.63153	0.0879
TMEM82	20.9702	62.7719	1.58178	0.09415
FBLIM1	2.96292	3.67366	0.310197	0.79555
SPEN	5.24028	4.38056	-0.25853	0.7741
C1orf144	23.1933	26.6864	0.202396	0.81085
NECAP2	19.5191	23.1794	0.247957	0.78005
MST1P2	6.20493	12.006	0.952267	0.351
CROCC	1.25997	2.22871	0.822816	0.48405
ARHGEF10L	22.3704	32.2114	0.525982	0.5426
IGSF21	0.405861	1.55026	1.93346	0.26855
KLHDC7A	1.15978	0.236528	-2.29377	0.14415
MRTO4	8.10538	14.7358	0.862375	0.37145
PQLC2	10.0319	14.8585	0.566695	0.57915
C1orf151-NBL1	15.0209	11.3349	-0.406196	0.6725
MINOS1	15.0209	11.3349	-0.406196	0.6725
NBL1	15.0209	11.3349	-0.406196	0.6725
OTUD3	0.531876	0.595528	0.163078	0.9103
PLA2G5	2.33741	0.247114	-3.24167	0.0726
UBXN10	2.43813	2.17267	-0.1663	0.8932
FAM43B	0.426945	0.0356877	-3.58055	0.2012
CDA	26.6663	30.0538	0.172526	0.86365
PINK1	69.6315	29.6023	-1.23403	0.16265
NBPF3	1.14631	0.720851	-0.669228	0.63245
ALPL	65.3494	8.26251	-2.98352	0.0046
LINC00339	11.1601	19.4698	0.802883	0.44975
CDC42	74.0419	85.9719	0.215524	0.80855
ZBTB40	1.1002	1.3692	0.315571	0.7742
C1QA	139.749	82.7795	-0.75549	0.38275
C1QC	145.307	76.9318	-0.917454	0.28895
C1QB	185.063	98.9629	-0.903059	0.30235
EPHB2	0.383752	0.162939	-1.23584	0.4641
KDM1A	10.4377	12.8563	0.300665	0.74475
C1orf213	0.200475	0.774047	1.949	0.60715
RPL11	1085.72	1065.34	-0.027329	0.97795
TCEB3	9.78861	10.2249	0.0629154	0.9473
PITHD1	25.3539	19.2258	-0.399166	0.6745
LYPLA2	44.1553	50.9018	0.205128	0.80375
