gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	5.57307	3.56822	-0.643268	0.54515
SAMD11	0.877805	0.143555	-2.6123	0.4594
KLHL17	1.11314	1.15566	0.054073	0.9715
PLEKHN1	0.144036	0.570837	1.98665	0.23015
ISG15	352.567	98.9992	-1.83241	0.0651
AGRN	14.1661	31.5418	1.15482	0.25435
B3GALT6	6.61549	6.73574	0.0259879	0.97785
SCNN1D	2.06838	0.271664	-2.92861	0.0451
PUSL1	5.97408	14.9307	1.32149	0.6524
GLTPD1	48.6915	25.2855	-0.945362	0.3034
LOC148413	6.93742	9.56654	0.463598	0.82985
VWA1	21.5399	43.1883	1.00363	0.307
ATAD3C	2.81099	0.391061	-2.84561	0.0355
ATAD3B	3.83753	9.74022	1.34377	0.1794
ATAD3A	7.18781	14.6449	1.02678	0.26055
MIB2	8.8056	6.19388	-0.507577	0.5786
GABRD	0.0408088	4.69579	6.84634	0.15925
PRKCZ	5.64011	0.628158	-3.16652	0.32805
SKI	7.10606	6.76915	-0.0700752	0.93795
RER1	39.0213	32.1725	-0.278432	0.8097
PLCH2	0.671547	0.554105	-0.277327	0.836
TNFRSF14	40.5256	31.2827	-0.373467	0.6801
FAM213B	3.74242	11.6138	1.6338	0.12055
ARHGEF16	2.57783	19.1314	2.89172	0.0081
TPRG1L	39.6326	31.8955	-0.313334	0.7418
TP73	0.134404	0.451948	1.74957	0.51195
LOC388588	10.4798	4.6419	-1.17482	0.37535
DFFB	0.442455	0.605802	0.453314	0.74245
LOC100133612	0.113142	0.382132	1.75594	0.3164
AJAP1	0.473964	0.0453394	-3.38594	0.12455
KCNAB2	9.18508	5.55586	-0.725282	0.43395
RNF207	1.35469	1.26871	-0.0945946	0.9731
ESPN	43.6737	17.1153	-1.35147	0.14955
ZBTB48	8.85417	3.46369	-1.35405	0.1688
PHF13	6.41164	4.87816	-0.394355	0.66165
THAP3	5.15619	6.28938	0.286613	0.91625
CAMTA1	61.2041	45.0323	-0.442667	0.6256
VAMP3	15.5628	16.7366	0.104903	0.9038
PER3	4.64309	2.32786	-0.996085	0.27015
PARK7	288.259	239.853	-0.265216	0.80275
SLC45A1	0.312659	0.424773	0.442102	0.7756
ENO1-AS1	0.351732	0.200338	-0.812041	0.00695
H6PD	17.2532	23.8918	0.46965	0.64615
SPSB1	47.0108	22.403	-1.0693	0.27565
SLC25A33	7.53605	24.8811	1.72317	0.0727
TMEM201	1.09923	3.33382	1.60069	0.15405
PIK3CD	1.57029	1.76396	0.167785	0.9288
NMNAT1	1.27201	1.4403	0.179264	0.8672
RBP7	3.46183	9.4415	1.44748	0.24135
UBE4B	3.26826	4.60338	0.494172	0.5732
