gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	13.6693	1.951	-2.80865	0.04535
SAMD11	0.77857	0.244915	-1.66855	0.59885
KLHL17	1.6493	0.583236	-1.4997	0.3521
PLEKHN1	0.018237	0.292027	4.00116	0.18965
ISG15	80.7711	67.4446	-0.260135	0.80865
AGRN	14.2631	44.6521	1.64644	0.18645
B3GALT6	9.44888	4.40641	-1.10054	0.3423
SCNN1D	2.45969	3.89248	0.662214	0.5895
PUSL1	7.39142	4.93868	-0.581728	0.8708
GLTPD1	65.6468	7.6497	-3.10125	0.01205
LOC148413	13.8003	6.28385	-1.13498	0.6625
VWA1	23.885	13.1413	-0.861994	0.431
ATAD3C	0.604414	0.138507	-2.12557	0.21135
ATAD3B	2.98808	0.722414	-2.04832	0.1871
ATAD3A	10.4898	3.41619	-1.61853	0.18545
MIB2	12.3074	2.90256	-2.08412	0.08715
GABRD	0.0694395	1.86792	4.74953	0.1118
PRKCZ	6.5697	9.56199	0.541483	0.7491
SKI	10.341	13.8817	0.424808	0.7007
RER1	50.0596	18.0711	-1.46997	0.2905
PLCH2	0.307014	0.0810848	-1.9208	0.2754
TNFRSF14	39.1161	11.4897	-1.76743	0.1198
FAM213B	3.97493	9.26605	1.22102	0.3317
PRDM16	0.0932193	0.179504	0.945317	0.546
ARHGEF16	1.57474	4.37967	1.47571	0.2668
TPRG1L	66.9771	13.33	-2.32899	0.0512
TP73	0.142094	0.533397	1.90836	0.51845
LOC388588	16.0808	6.27911	-1.35671	0.35305
DFFB	1.15778	0.758581	-0.609989	0.68125
LOC100133612	0.247293	0.156737	-0.657879	0.7088
KCNAB2	8.68625	6.82847	-0.347172	0.76505
RNF207	1.38508	0.721049	-0.941799	0.83555
ESPN	63.8684	23.7989	-1.42421	0.21285
ZBTB48	8.16789	3.43631	-1.2491	0.29365
PHF13	4.16554	5.4187	0.379444	0.7376
THAP3	8.86518	3.96632	-1.16035	0.70835
CAMTA1	77.9935	21.8807	-1.8337	0.1456
VAMP3	15.1735	15.7775	0.0563185	0.9543
PER3	7.35582	7.1576	-0.039409	0.97165
PARK7	325.461	95.4909	-1.76905	0.1499
SLC45A1	0.271697	0.247302	-0.135723	0.93535
H6PD	12.1736	6.71477	-0.85835	0.44665
SPSB1	9.7866	4.20569	-1.21847	0.2812
SLC25A33	17.468	12.1904	-0.518965	0.63935
TMEM201	1.16654	2.40419	1.04332	0.42975
PIK3CD	1.59499	0.407215	-1.96969	0.6105
NMNAT1	2.41949	0.848339	-1.51199	0.2508
RBP7	2.40096	11.0561	2.20316	0.13855
UBE4B	4.62325	4.52607	-0.0306484	0.97675
KIF1B	2.6788	2.68502	0.00334386	0.99735
PGD	58.3173	32.5205	-0.842572	0.456
APITD1	5.15018	2.2514	-1.1938	0.36655
APITD1-CORT	5.15018	2.2514	-1.1938	0.36655
CORT	5.15018	2.2514	-1.1938	0.36655
PEX14	27.479	3.73825	-2.8779	0.0236
TARDBP	16.5365	19.5243	0.239615	0.83745
UBIAD1	5.44777	7.88111	0.532734	0.62135
FBXO44	6.67132	2.70104	-1.30446	0.5614
FBXO6	16.8666	10.6146	-0.668118	0.5524
AGTRAP	17.8919	6.92879	-1.36863	0.2591
CLCN6	1.82821	1.56358	-0.225575	0.84895
PLOD1	69.4675	35.6545	-0.962253	0.42485
MFN2	30.8055	13.8451	-1.15381	0.31655
MIIP	11.0478	4.38848	-1.33197	0.27005
TNFRSF1B	14.986	3.17985	-2.23658	0.0531
VPS13D	1.57937	1.9797	0.325935	0.7614
PDPN	0.0723147	0.225253	1.63918	0.3106
PRDM2	2.6725	2.18839	-0.288325	0.8148
KAZN	1.62682	0.31825	-2.35382	0.1755
TMEM51	1.79936	0.976202	-0.882228	0.55585
EFHD2	28.233	12.1712	-1.21392	0.2722
DNAJC16	4.34985	4.14165	-0.070763	0.9792
DDI2	3.9938	3.02397	-0.401318	0.7312
RSC1A1	3.9938	3.02397	-0.401318	0.7312
PLEKHM2	6.19518	5.43798	-0.188076	0.86335
SLC25A34	1.74196	0.561339	-1.63377	0.27945
TMEM82	62.1598	1.48094	-5.3914	0.00335
FBLIM1	2.64173	18.7926	2.83061	0.0256
SPEN	2.63188	3.39775	0.368486	0.74195
C1orf144	18.4685	12.7972	-0.529232	0.62565
NECAP2	17.3086	9.47815	-0.868814	0.42645
MST1P2	11.1312	2.43146	-2.19472	0.0837
CROCC	2.02093	1.42147	-0.507632	0.6777
ARHGEF10L	38.9998	16.7011	-1.22352	0.2829
IGSF21	1.02657	0.727669	-0.496481	0.7691
KLHDC7A	2.51038	0.498307	-2.3328	0.0941
MRTO4	8.8882	6.45863	-0.460663	0.68485
PQLC2	13.1746	7.18756	-0.874185	0.4464
C1orf151-NBL1	12.2103	7.32803	-0.736604	0.51745
MINOS1	12.2103	7.32803	-0.736604	0.51745
NBL1	12.2103	7.32803	-0.736604	0.51745
OTUD3	0.233415	0.456474	0.967634	0.5272
PLA2G5	2.03917	0.467984	-2.12345	0.18625
UBXN10	6.44569	0.246943	-4.70608	0.011
FAM43B	0.525123	0.11968	-2.13347	0.2479
CDA	59.0443	2.16228	-4.77117	0.00635
PINK1	107	15.8277	-2.75709	0.0313
NBPF3	1.57044	0.753829	-1.05885	0.4195
ALPL	54.5658	0.416026	-7.03518	0.0011
LINC00339	9.99315	4.14966	-1.26795	0.3149
CDC42	62.9802	64.9683	0.0448378	0.96755
