gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	6.86076	5.26279	-0.382542	0.75435
SAMD11	0.504992	0.0980856	-2.36415	0.34435
KLHL17	0.669433	1.72921	1.3691	0.40805
PLEKHN1	0.185876	1.39936	2.91236	0.12025
ISG15	44.5386	83.4841	0.906444	0.39355
AGRN	13.4385	19.5487	0.540701	0.5987
B3GALT6	8.09094	9.83428	0.281513	0.7986
SCNN1D	1.17894	1.1406	-0.0476994	0.97455
PUSL1	6.7799	11.7548	0.793915	0.75675
GLTPD1	43.1893	43.0788	-0.00369407	0.9963
TAS1R3	0.281557	0.182826	-0.622956	0.74865
LOC148413	6.43817	11.8299	0.877714	0.73155
VWA1	30.363	13.6771	-1.15055	0.27105
ATAD3C	1.6875	0.448355	-1.91217	0.22445
ATAD3B	3.42628	6.41224	0.904185	0.4654
ATAD3A	7.86948	12.4578	0.662709	0.5439
MIB2	8.19302	6.89213	-0.249445	0.8157
MMP23B	0.452274	0.0178147	-4.66605	0.1934
GABRD	0.163138	0.396718	1.28202	0.5129
PRKCZ	4.05838	10.1619	1.3242	0.4791
SKI	10.8791	12.4771	0.197717	0.846
RER1	39.3078	50.5895	0.36402	0.7679
PLCH2	0.303882	0.101083	-1.58797	0.3951
TNFRSF14	17.3609	38.6112	1.15318	0.2691
FAM213B	2.38267	6.60483	1.47094	0.2721
PRDM16	0.15552	1.87585	3.59237	0.03325
ARHGEF16	3.40468	8.4949	1.31908	0.26195
TPRG1L	42.259	65.3009	0.627844	0.55215
TP73	0.055644	0.524538	3.23675	0.34345
LOC388588	10.7185	5.42701	-0.981877	0.5381
DFFB	0.429958	0.848674	0.981015	0.56765
LOC100133612	0.0939515	0.269087	1.51809	0.46505
AJAP1	0.329342	0.0169466	-4.28052	0.20305
KCNAB2	1.94531	4.10351	1.07686	0.44135
RNF207	0.71363	1.43968	1.0125	0.80015
ESPN	30.6563	27.0543	-0.180327	0.858
ZBTB48	4.64503	5.94353	0.355631	0.76585
PHF13	8.10545	10.7593	0.408615	0.6876
THAP3	4.89001	7.87441	0.687335	0.82055
CAMTA1	52.9331	39.1083	-0.436695	0.68655
VAMP3	18.09	26.5613	0.554132	0.5873
PER3	2.71221	4.27674	0.657045	0.5412
PARK7	224.336	207.783	-0.110588	0.91815
SLC45A1	0.353268	0.191554	-0.883012	0.63985
ENO1-AS1	0.149447	0.667673	2.15951	0.005
H6PD	21.6602	27.2592	0.331696	0.771
SPSB1	108.518	20.0045	-2.43954	0.0351
SLC25A33	10.6164	22.7666	1.10062	0.30615
TMEM201	1.07771	2.46109	1.19132	0.3838
PIK3CD	0.850125	0.56209	-0.596873	0.88765
NMNAT1	1.84799	2.60449	0.495042	0.68585
RBP7	3.60876	3.4055	-0.0836397	0.95735
UBE4B	3.75892	7.16462	0.93057	0.36825
KIF1B	3.98465	6.97952	0.808673	0.4317
PGD	45.1159	55.2379	0.29202	0.7775
APITD1	2.45304	4.97356	1.01971	0.4598
APITD1-CORT	2.45304	4.97356	1.01971	0.4598
CORT	2.45304	4.97356	1.01971	0.4598
PEX14	14.6249	13.4218	-0.123848	0.90785
TARDBP	20.0823	19.3817	-0.0512325	0.95955
UBIAD1	6.36975	11.6325	0.868853	0.4045
FBXO44	4.5892	8.94	0.962032	0.56415
FBXO6	5.97271	5.07703	-0.234401	0.8532
AGTRAP	11.6933	23.9278	1.033	0.3586
CLCN6	1.51193	2.9075	0.943385	0.42695
PLOD1	56.4405	147.792	1.38877	0.2391
MFN2	27.4883	36.3757	0.404161	0.70465
MIIP	5.11205	13.0125	1.34793	0.2513
TNFRSF1B	21.324	4.89689	-2.12254	0.0492
VPS13D	1.97022	2.05336	0.0596335	0.95185
PDPN	0.656303	0.0743617	-3.14173	0.08905
PRDM2	3.11172	3.07841	-0.0155267	0.9898
KAZN	1.14993	0.0941445	-3.61052	0.31615
TMEM51	8.1914	4.20417	-0.96229	0.4217
EFHD2	24.7793	14.0884	-0.814632	0.4292
DNAJC16	5.19857	3.48992	-0.57492	0.83425
DDI2	4.31655	4.45217	0.0446304	0.96975
RSC1A1	4.31655	4.45217	0.0446304	0.96975
PLEKHM2	6.30471	9.77659	0.632901	0.54455
SLC25A34	0.221834	0.214695	-0.04719	0.97735
TMEM82	56.2394	0.815236	-6.10822	0.00595
FBLIM1	7.76729	4.30235	-0.852285	0.45325
SPEN	4.31176	4.30166	-0.00338274	0.99685
C1orf144	18.4604	27.1142	0.554616	0.5882
NECAP2	10.903	19.8383	0.863568	0.40205
MST1P2	5.83283	7.21731	0.307265	0.78605
CROCC	1.00969	1.26237	0.32222	0.80605
ARHGEF10L	26.3485	17.5514	-0.58613	0.57145
IGSF21	0.743763	1.10964	0.577176	0.74365
KLHDC7A	0.782486	0.509138	-0.620007	0.69085
MRTO4	10.3802	12.4519	0.262543	0.8028
PQLC2	9.26645	20.0384	1.11268	0.3061
C1orf151-NBL1	15.7352	9.14899	-0.782312	0.46465
MINOS1	15.7352	9.14899	-0.782312	0.46465
NBL1	15.7352	9.14899	-0.782312	0.46465
OTUD3	0.287152	0.959902	1.74107	0.25745
PLA2G5	2.1865	0.729987	-1.58268	0.32955
UBXN10	5.20476	8.06222	0.631346	0.54855
FAM43B	0.845774	0.0309288	-4.77325	0.18105
CDA	39.6846	15.7069	-1.33718	0.2309
PINK1	75.4325	68.9785	-0.12904	0.9059
NBPF3	0.716742	1.98159	1.46713	0.2915
ALPL	31.9472	5.54954	-2.52525	0.0272
LINC00339	6.07925	11.9364	0.973404	0.4291
CDC42	82.7146	92.2444	0.15732	0.88865
ZBTB40	0.557977	1.61516	1.5334	0.21385
C1QA	128.796	57.2608	-1.16946	0.26685
C1QC	92.208	42.6555	-1.11216	0.27615
C1QB	125.281	51.4463	-1.28403	0.21975
EPHB2	0.472684	0.718034	0.603177	0.69905
KDM1A	7.15121	9.62203	0.428154	0.6842
C1orf213	0.203539	0.45656	1.1655	0.7731
RPL11	943.358	647.394	-0.543162	0.6665
TCEB3	10.0829	13.4039	0.41075	0.7107
PITHD1	30.1271	22.6632	-0.410707	0.6931
LYPLA2	58.458	61.7065	0.0780209	0.93515
PNRC2	20.2057	25.2028	0.318819	0.7504
GRHL3	0.0273377	0.220445	3.01145	0.4889
NIPAL3	0.795845	1.09384	0.458836	0.73815
RCAN3	1.03488	0.91696	-0.174528	0.9075
C1orf130	1.40395	3.28118	1.22472	0.324
SRRM1	10.1262	10.7235	0.0826834	0.93445
CLIC4	14.5989	14.6483	0.00487642	0.9959
TMEM50A	17.0618	20.7615	0.283139	0.7833
TMEM57	15.8788	11.9028	-0.415804	0.6809
