GENENAME	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
LOC643837	5.48019	5.48874	0.00224789	0.98795
SAMD11	2.18667	1.01458	-1.10785	0.192
KLHL17	18.9373	15.6617	-0.273984	0.0032
PLEKHN1	2.45976	3.46476	0.494234	5e-05
ISG15	170.223	317.816	0.900761	5e-05
AGRN	25.9391	21.1379	-0.295301	0.0006
B3GALT6	14.5631	13.0357	-0.159848	0.0803
SCNN1D	1.77016	1.21235	-0.546073	0.0002
PUSL1	27.0254	28.3169	0.0673448	0.73845
GLTPD1	9.93581	8.7559	-0.182382	0.0567
LOC148413	14.5543	14.8555	0.0295518	0.86165
VWA1	20.6015	17.6652	-0.221841	0.0104
ATAD3C	0.422798	0.604338	0.515387	0.00845
ATAD3B	26.2483	29.6522	0.175915	0.0424
ATAD3A	45.5357	53.4154	0.230257	0.00765
MIB2	25.2651	27.9415	0.145265	0.09645
GABRD	6.4403	5.36722	-0.262954	0.00715
PRKCZ	18.537	16.5067	-0.167363	0.1862
SKI	23.0727	20.3998	-0.177633	0.03595
RER1	31.7327	34.0928	0.103497	0.29465
PLCH2	0.747202	1.12989	0.596616	5e-05
FAM213B	23.892	22.0965	-0.112713	0.2332
PRDM16	1.2131	1.37776	0.183634	0.05205
ARHGEF16	18.9267	19.5624	0.0476605	0.58975
TPRG1L	34.5069	25.6847	-0.425974	5e-05
TP73	9.18105	7.39593	-0.311927	0.0005
LOC388588	3.87028	5.1923	0.423936	0.0547
DFFB	5.67733	6.33844	0.158916	0.1027
KCNAB2	6.59468	7.51846	0.189134	0.15175
RNF207	9.10059	7.04462	-0.369437	0.1475
ESPN	23.1538	23.8823	0.0446981	0.6017
ZBTB48	9.19911	8.74373	-0.0732463	0.44845
PHF13	16.5453	13.4967	-0.293819	0.00085
THAP3	11.2013	9.57777	-0.225909	0.4205
CAMTA1	28.6632	31.9333	0.155864	0.19695
VAMP3	42.9803	40.8036	-0.0749817	0.3758
PER3	1.66352	0.875257	-0.926458	5e-05
PARK7	310.788	361.554	0.218279	0.00855
SLC45A1	5.93221	6.07865	0.0351819	0.70825
ENO1-AS1	0.658405	1.11076	0.754504	0.41835
H6PD	5.26318	4.60507	-0.192712	0.03145
SPSB1	6.02446	5.74629	-0.0682003	0.50335
SLC25A33	21.9199	25.4833	0.217309	0.0187
TMEM201	14.8436	13.9337	-0.0912683	0.30405
PIK3CD	6.11042	5.61908	-0.120937	0.65765
NMNAT1	4.23574	4.44817	0.0705988	0.4803
RBP7	33.5941	41.5937	0.308156	0.0018
UBE4B	16.126	16.6686	0.047741	0.57065
KIF1B	9.91782	10.0955	0.0256188	0.76845
