GENENAME	NORMAL	ABNORMAL	LOG2FOLD	PVALUE
LOC643837	2.49467	2.94828	0.241027	0.48005
SAMD11	1.05781	0.940303	-0.169884	0.95505
KLHL17	4.79215	8.59099	0.842151	0.0033
PLEKHN1	2.91576	5.11299	0.810295	0.00895
ISG15	25.7415	93.9653	1.86803	5e-05
AGRN	91.5875	136.842	0.579286	0.05935
B3GALT6	22.8577	33.548	0.553548	0.04135
SCNN1D	0.476921	2.43275	2.35077	5e-05
PUSL1	22.7142	43.0015	0.920794	0.13995
GLTPD1	20.6912	43.7586	1.08055	0.0001
LOC148413	9.34483	12.9743	0.473418	0.45615
ATAD3B	23.0731	33.2075	0.5253	0.0552
ATAD3A	38.4299	48.2252	0.327556	0.22395
MIB2	10.1377	22.7497	1.16611	5e-05
SKI	19.3998	20.6505	0.0901379	0.7338
RER1	38.5205	37.8291	-0.0261326	0.94345
TNFRSF14	6.07556	12.3736	1.02617	0.0005
FAM213B	17.7995	28.0394	0.655618	0.0268
PRDM16	2.66931	2.82966	0.0841642	0.7543
ARHGEF16	0.959411	1.06732	0.153778	0.6821
TPRG1L	23.7854	22.7498	-0.0642197	0.8088
LOC388588	0.387854	2.30594	2.57177	0.0109
DFFB	1.85645	1.57742	-0.234981	0.46435
KCNAB2	1.29058	2.44661	0.922768	0.13135
RNF207	1.83097	3.26675	0.83525	0.59275
ZBTB48	3.55278	6.26313	0.817935	0.0065
PHF13	11.2538	11.0285	-0.0291863	0.91205
THAP3	10.5636	17.1388	0.698169	0.3806
CAMTA1	36.3657	44.9611	0.306099	0.31085
VAMP3	60.3816	55.3758	-0.124852	0.63365
PER3	2.46304	2.89601	0.233626	0.3858
PARK7	335.852	326.044	-0.042761	0.8781
SLC45A1	0.818417	1.38723	0.761296	0.06495
H6PD	3.71436	5.01277	0.432492	0.10555
SPSB1	8.00592	7.43628	-0.106487	0.6874
SLC25A33	8.67171	5.56787	-0.639191	0.02875
TMEM201	9.9791	8.64305	-0.207368	0.43895
PIK3CD	5.64476	6.86811	0.283002	0.7735
NMNAT1	2.8305	3.48446	0.299878	0.2723
UBE4B	15.3694	12.6363	-0.282487	0.3004
KIF1B	7.77818	8.06699	0.0525978	0.8497
PGD	158.253	129.717	-0.286863	0.3075
APITD1,APITD1-CORT,CORT	20.5337	18.4196	-0.15675	0.5787
PEX14	14.3225	19.2849	0.429183	0.118
TARDBP	47.7204	37.6072	-0.343596	0.2085
UBIAD1	6.97791	7.31693	0.0684428	0.79505
FBXO44	2.33927	3.09296	0.402932	0.2547
FBXO6	1.72018	1.89892	0.142614	0.70985
AGTRAP	36.7923	50.179	0.447679	0.0992
CLCN6	3.25957	3.75113	0.202642	0.5064
PLOD1	82.9036	132.581	0.677368	0.01685
MFN2	33.7081	33.3157	-0.0168925	0.9497
MIIP	8.70377	17.3126	0.992108	0.00055
TNFRSF1B	1.83616	3.98481	1.11782	0.0015
VPS13D	2.67294	2.8354	0.0851297	0.7512
PRDM2	2.60741	3.39695	0.381621	0.1882
KAZN	1.09814	3.51446	1.67825	5e-05
TMEM51	6.06904	5.09601	-0.2521	0.37795
EFHD2	41.3907	47.9083	0.210968	0.4317
DNAJC16	4.99749	4.32802	-0.207498	0.44405
DDI2,RSC1A1	4.47704	5.13088	0.196661	0.52695
PLEKHM2	30.5307	44.9042	0.556591	0.03645
FBLIM1	33.6756	72.2953	1.1022	0.0001
SPEN	5.32567	6.28381	0.238678	0.40155
C1orf144	79.888	71.7468	-0.155063	0.5811
NECAP2	31.2979	40.1833	0.360533	0.1672
CROCC	2.88652	5.45184	0.917412	0.00105
PADI1	0.318193	0.592983	0.898088	0.02765
ARHGEF10L	7.01331	9.65134	0.460633	0.0782
MRTO4	46.6237	45.49	-0.0355145	0.8947
PQLC2	12.6705	21.2951	0.749044	0.00865
C1orf151-NBL1,MINOS1,NBL1	39.7705	37.0641	-0.101677	0.72535
OTUD3	1.73165	1.67601	-0.0471167	0.86535
CDA	1.28613	3.62413	1.4946	0.00285
PINK1	46.2784	62.3127	0.429185	0.10825
NBPF3	2.22267	2.49818	0.168582	0.5651
LINC00339	7.3542	5.45622	-0.430666	0.17415
CDC42	137.322	123.228	-0.156231	0.5834
ZBTB40	2.66083	3.27423	0.299279	0.2654
EPHB2	20.6742	19.0252	-0.119922	0.6505
KDM1A	48.5055	39.8434	-0.28381	0.29535
C1orf213	1.00059	1.98799	0.990462	0.4253
RPL11	1650.6	1785.02	0.112948	0.7416
TCEB3	12.8704	12.5449	-0.0369559	0.8984
PITHD1	45.2138	41.12	-0.136923	0.60505
LYPLA2	67.2381	84.4332	0.328531	0.21535
PNRC2	38.8728	32.2689	-0.268616	0.30905
NIPAL3	21.1613	34.8965	0.721652	0.0071
RCAN3	3.13722	4.82458	0.620916	0.03035
SRRM1	30.2825	34.133	0.17268	0.54035
CLIC4	103.126	120.606	0.225897	0.4743
TMEM50A	46.148	40.6409	-0.183336	0.49495
TMEM57	5.27471	4.6307	-0.187861	0.4791
LDLRAP1	5.54958	5.43275	-0.0306941	0.9091
SEPN1	36.9958	43.2851	0.226508	0.40415
FAM54B	21.1479	26.1982	0.308948	0.25115
PDIK1L	1.35324	0.789069	-0.77819	0.01795
ZNF593	48.1008	100.255	1.05954	0.00035
CEP85	5.95848	7.92365	0.411221	0.1402
SH3BGRL3	662.195	1799.46	1.44223	0.0013
DHDDS	9.47681	11.5709	0.288021	0.27735
HMGN2	289.426	201.037	-0.525735	0.08375
RPS6KA1	7.58209	9.00179	0.247618	0.35585
ARID1A	10.4727	12.5338	0.25919	0.3355
PIGV	6.73113	7.17896	0.0929253	0.73435
ZDHHC18	8.72954	12.1224	0.473701	0.0727
SFN	1.1403	0.393388	-1.53539	0.0145
NUDC	161.629	175.593	0.119547	0.6602
TRNP1	10.6856	14.5396	0.444316	0.1187
WDTC1	13.5338	14.5757	0.107005	0.6835
TMEM222	27.2517	33.5558	0.300218	0.2741
SYTL1	0.551576	0.468749	-0.234745	0.66205
GPR3	1.65548	1.44048	-0.200695	0.57505
FAM76A	1.73212	1.81102	0.0642628	0.8253
STX12	10.0305	10.1819	0.0216133	0.93295
PPP1R8	25.2753	19.4908	-0.374936	0.15485
XKR8	12.8436	16.0674	0.323087	0.22665
ATPIF1	245.767	470.743	0.937649	0.00595
SESN2	6.55806	7.35502	0.16546	0.53945
MED18	9.71139	11.6435	0.261779	0.34595
PHACTR4	8.9402	10.4909	0.230753	0.3793
RCC1	60.1018	49.6658	-0.275154	0.3081
TRNAU1AP	10.3794	10.2325	-0.0205584	0.95325
GMEB1	5.12668	4.77122	-0.103665	0.71115
YTHDF2	41.5346	32.6911	-0.345413	0.1891
EPB41	3.33342	2.72173	-0.292479	0.40705
PTPRU	0.695669	0.705621	0.0204929	0.953
ZCCHC17	34.944	35.1419	0.00814714	0.9765
SERINC2	32.0993	75.8159	1.23996	5e-05
KHDRBS1	99.8325	69.6098	-0.520219	0.06165
TMEM39B	10.2983	13.5027	0.39085	0.158
KPNA6	17.9542	22.4257	0.320832	0.2393
TXLNA	21.8336	24.0296	0.138258	0.6037
CCDC28B	8.78516	16.0154	0.866323	0.0051
IQCC	1.765	1.93519	0.13281	0.6927
EIF3I	226.59	256.353	0.178049	0.5426
FAM167B	0.582554	2.54109	2.12498	0.0003
HDAC1	48.523	34.0159	-0.512459	0.04885
TSSK3	0.646164	1.17677	0.864861	0.0642
ZBTB8A	1.53146	1.39781	-0.131738	0.64295
RBBP4	17.2443	11.4465	-0.591209	0.2196
KIAA1522	32.2442	36.817	0.19133	0.55885
S100PBP	6.17935	5.52404	-0.161729	0.85045
ADC	3.44594	3.27869	-0.0717778	0.81205
ZNF362	7.37611	9.40061	0.349895	0.19745
ZSCAN20	0.75585	1.06549	0.495345	0.1412
ZMYM1	2.97581	2.61947	-0.184007	0.5088
ZMYM4	11.4528	8.99105	-0.349139	0.18845
NCDN	21.0697	23.6513	0.16675	0.5329
EIF2C4	2.04513	2.14362	0.0678615	0.8035
EIF2C1	6.19153	5.73762	-0.109844	0.67945
EIF2C3	2.88163	2.43119	-0.245223	0.4031
ADPRHL2	32.4874	47.3071	0.542179	0.04765
MAP7D1	90.6456	111.365	0.296981	0.29905
THRAP3	43.8313	42.2074	-0.0544651	0.84355
SH3D21	0.297525	1.23067	2.04836	0.0001
ZC3H12A	3.07179	3.40975	0.150586	0.61215
DNALI1	4.53403	3.18158	-0.511053	0.6062
CDCA8	34.0127	27.5466	-0.3042	0.24885
MANEAL	20.1955	14.3594	-0.492035	0.06915
C1orf122	65.6662	81.4657	0.311042	0.3538
UTP11L	30.8925	22.4378	-0.461324	0.0842
AKIRIN1	28.2415	26.4239	-0.0959699	0.71935
NDUFS5	358.045	561.099	0.648114	0.0445
MACF1	20.7351	19.4408	-0.0929852	0.77765
KIAA0754	4.12508	5.35839	0.377378	0.77525
PPIE	16.5918	16.8837	0.025158	0.94665
MFSD2A	4.70363	3.13934	-0.583315	0.05965
CAP1	196.217	228.974	0.222728	0.4659
RLF	2.20993	2.1109	-0.0661436	0.8119
ZMPSTE24	26.9595	21.5343	-0.324162	0.2237
SMAP2	8.87215	9.29002	0.0663978	0.80495
ZNF643	0.790488	0.637245	-0.310896	0.45565
ZNF642	0.61326	0.802049	0.387191	0.3467
DEM1	3.60628	3.84756	0.0934333	0.74455
ZNF684	0.749845	0.6797	-0.141694	0.73415
NFYC	18.8865	20.8607	0.143437	0.598
