MT-ND1	ENSG00000198888
MT-ND2	ENSG00000198763
MT-ND3	ENSG00000198840
MT-ND4	ENSG00000198886
MT-ND4L	ENSG00000212907
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
NDUFA1	ENSG00000125356
NDUFA2	ENSG00000131495
NDUFA3	ENSG00000170906
NDUFA4	ENSG00000189043
NDUFA5	ENSG00000128609
NDUFA6	ENSG00000184983
NDUFA7	ENSG00000267855
NDUFA8	ENSG00000119421
NDUFA9	ENSG00000139180
NDUFA10	ENSG00000130414
NDUFA11	ENSG00000174886
NDUFA12	ENSG00000184752
NDUFA13	ENSG00000186010
NDUFAB1	ENSG00000004779
NDUFB1	ENSG00000183648
NDUFB2	ENSG00000090266
NDUFB3	ENSG00000119013
NDUFB4	ENSG00000065518
NDUFB5	ENSG00000136521
NDUFB6	ENSG00000165264
NDUFB7	ENSG00000099795
NDUFB8	ENSG00000166136
NDUFB9	ENSG00000147684
NDUFB10	ENSG00000140990
NDUFB11	ENSG00000147123
NDUFC1	ENSG00000109390
NDUFC2	ENSG00000151366
NDUFS1	ENSG00000023228
NDUFS2	ENSG00000158864
NDUFS3	ENSG00000213619
NDUFS4	ENSG00000164258
NDUFS5	ENSG00000168653
NDUFS6	ENSG00000145494
NDUFS7	ENSG00000115286
NDUFS8	ENSG00000110717
NDUFV1	ENSG00000167792
NDUFV2	ENSG00000178127
NDUFV3	ENSG00000160194
CYC1	ENSG00000179091
MT-CYB	ENSG00000198727
UQCR10	ENSG00000184076
UQCR11	ENSG00000127540
UQCRB	ENSG00000156467
UQCRC1	ENSG00000010256
UQCRC2	ENSG00000140740
UQCRFS1	ENSG00000169021
UQCRH	ENSG00000173660
UQCRQ	ENSG00000164405
COX4I1	ENSG00000131143
COX4I2	ENSG00000131055
COX5A	ENSG00000178741
COX5B	ENSG00000135940
COX6A1	ENSG00000111775
COX6A2	ENSG00000156885
COX6B1	ENSG00000126267
COX6B2	ENSG00000160471
COX6C	ENSG00000164919
COX7A1	ENSG00000161281
COX7A2	ENSG00000112695
COX7B	ENSG00000131174
COX7B2	ENSG00000170516
COX7C	ENSG00000127184
COX8A	ENSG00000176340
MT-CO1	ENSG00000198804
MT-CO2	ENSG00000198712
MT-CO3	ENSG00000198938
