gene	value_1	value_2	log2(fold_change)	p_value
LOC643837	6.76583	3.94853	-0.776954	0.4733
KLHL17	0.953685	1.08997	0.192709	0.89265
PLEKHN1	0.255744	0.00947995	-4.75368	0.25855
ISG15	58.4206	14.2884	-2.03163	0.0477
AGRN	32.2279	10.5857	-1.60619	0.04405
B3GALT6	7.60547	4.44831	-0.773781	0.4183
SCNN1D	1.36878	1.19828	-0.191925	0.88195
PUSL1	4.99798	3.57118	-0.484943	0.8596
GLTPD1	42.0202	8.42911	-2.31763	0.0111
LOC148413	9.43509	9.95353	0.077172	0.952
VWA1	20.6437	18.6253	-0.148434	0.844
ATAD3C	0.770988	0.422313	-0.868397	0.54145
ATAD3B	2.01233	0.901413	-1.15861	0.39165
ATAD3A	6.3653	3.12134	-1.02806	0.3153
MIB2	9.53268	2.99112	-1.6722	0.08525
MMP23B	0.372254	0.0529518	-2.81354	0.1904
GABRD	0.192239	0.405625	1.07725	0.5405
PRKCZ	7.93108	6.14062	-0.369132	0.7508
SKI	12.242	5.45093	-1.16727	0.1436
RER1	48.5592	24.3413	-0.996337	0.2601
PLCH2	0.538457	0.0347495	-3.95377	0.10925
TNFRSF14	29.9622	13.1357	-1.18965	0.1491
FAM213B	4.32023	3.23811	-0.415953	0.68945
ARHGEF16	4.37168	0.901155	-2.27834	0.07065
TPRG1L	60.4956	19.2788	-1.64982	0.03885
LOC388588	10.1213	1.77966	-2.50773	0.1106
DFFB	0.560166	0.459417	-0.286051	0.8502
KCNAB2	22.8586	0.581508	-5.29679	0.00175
RNF207	1.11314	1.45765	0.389019	0.89965
ESPN	40.2057	21.5094	-0.902435	0.24135
ZBTB48	5.71587	4.60275	-0.312477	0.74245
PHF13	2.67226	2.31011	-0.210103	0.834
THAP3	5.08964	3.64627	-0.481143	0.837
CAMTA1	40.3072	26.8944	-0.583729	0.51545
VAMP3	20.9535	12.8782	-0.702264	0.37735
PER3	7.25128	2.83865	-1.35303	0.10465
PARK7	214.85	99.9601	-1.10391	0.1542
H6PD	38.7768	31.5406	-0.297987	0.71455
SPSB1	12.4217	11.8456	-0.0685216	0.9298
SLC25A33	10.4329	14.8467	0.509007	0.56565
TMEM201	1.44735	1.94627	0.4273	0.69985
PIK3CD	1.5104	0.496018	-1.60647	0.55355
NMNAT1	3.21692	1.86496	-0.786536	0.4199
RBP7	5.96612	28.7815	2.27028	0.05
UBE4B	6.50454	3.7857	-0.780888	0.3215
KIF1B	5.16628	2.97843	-0.794571	0.3108
PGD	30.9123	15.5323	-0.992912	0.2096
APITD1	4.38306	3.77671	-0.214807	0.85235
APITD1-CORT	4.38306	3.77671	-0.214807	0.85235
CORT	4.38306	3.77671	-0.214807	0.85235
PEX14	16.6316	7.49086	-1.15072	0.19255
TARDBP	20.6045	15.0643	-0.451821	0.54845
UBIAD1	5.76328	4.08062	-0.4981	0.57095
FBXO44	5.60527	3.8008	-0.56048	0.7064
FBXO6	11.3086	7.5431	-0.584189	0.53405
AGTRAP	10.0591	6.75291	-0.574915	0.5803
CLCN6	1.78785	1.13786	-0.6519	0.5315
PLOD1	64.9939	29.2403	-1.15235	0.1443
MFN2	32.596	15.5906	-1.06402	0.16145
MIIP	5.41469	2.94142	-0.880364	0.4232
TNFRSF1B	9.81328	6.72334	-0.545557	0.48745
VPS13D	3.72797	1.6502	-1.17575	0.1339
PDPN	0.2128	0.258752	0.282072	0.85155
PRDM2	2.45827	1.51796	-0.69551	0.49325
KAZN	2.00115	0.212126	-3.23784	0.04635
TMEM51	2.39949	0.32184	-2.89831	0.06075
FHAD1	0.143748	0.285965	0.992294	0.51755
EFHD2	15.7316	10.4323	-0.592608	0.46375
DNAJC16	5.88017	4.02067	-0.548423	0.77855
DDI2	5.51911	3.70661	-0.574337	0.5282
RSC1A1	5.51911	3.70661	-0.574337	0.5282
PLEKHM2	9.0263	4.99818	-0.852731	0.30485
SLC25A34	1.57002	3.23828	1.04444	0.3475
TMEM82	51.3085	13.4574	-1.9308	0.03015
FBLIM1	3.95465	2.59401	-0.608363	0.54135
SPEN	3.13051	2.21677	-0.497942	0.5294
C1orf144	25.0975	12.5346	-1.00163	0.1831
NECAP2	13.5496	7.21887	-0.908401	0.28615
MST1P2	7.78055	3.67511	-1.08208	0.26335
CROCC	1.12622	0.594918	-0.920722	0.44025
ARHGEF10L	23.405	18.2412	-0.359617	0.64105
IGSF21	0.336863	0.69892	1.05297	0.52305
KLHDC7A	5.07309	3.78752	-0.421613	0.61585
MRTO4	5.90621	3.59998	-0.714243	0.4579
PQLC2	9.94695	5.00027	-0.992248	0.31305
C1orf151-NBL1	11.1843	7.53743	-0.569325	0.50155
MINOS1	11.1843	7.53743	-0.569325	0.50155
NBL1	11.1843	7.53743	-0.569325	0.50155
OTUD3	0.192146	0.285739	0.572494	0.70485
PLA2G5	1.67161	0.251835	-2.73069	0.1101
UBXN10	3.02405	4.11906	0.445833	0.6415
CDA	35.7609	18.31	-0.965754	0.26425
PINK1	100.26	28.2649	-1.82666	0.02345
NBPF3	1.80206	2.39817	0.412283	0.67735
ALPL	37.8868	10.4921	-1.8524	0.02585
LINC00339	4.63013	4.47381	-0.0495493	0.96515
CDC42	79.7456	48.5943	-0.714619	0.35145
ZBTB40	1.41751	1.27124	-0.157116	0.86195
C1QA	44.3061	33.9825	-0.382714	0.62585
C1QC	40.6898	31.1444	-0.385694	0.615
C1QB	48.9106	33.7852	-0.533756	0.49585
EPHB2	0.408604	0.304455	-0.424472	0.7605
KDM1A	8.22885	4.43383	-0.892137	0.29825
RPL11	780.508	259.365	-1.58943	0.0555
TCEB3	8.98473	5.08273	-0.821873	0.3346
PITHD1	23.9908	12.0647	-0.991688	0.24065
LYPLA2	39.5843	21.9208	-0.852631	0.27715
PNRC2	16.3589	10.9748	-0.575884	0.46515
NIPAL3	1.74781	2.27343	0.379321	0.6924
RCAN3	0.840572	0.5852	-0.522441	0.69325
C1orf130	1.99941	1.05047	-0.928533	0.40475
SRRM1	9.18319	8.52062	-0.108037	0.88755
CLIC4	21.816	13.0716	-0.738953	0.33415
TMEM50A	17.8089	12.5177	-0.508626	0.5193
TMEM57	11.5884	7.87462	-0.557396	0.47255
LDLRAP1	14.0626	6.81407	-1.04527	0.2039
MAN1C1	14.4648	1.14557	-3.6584	0.0074
SEPN1	14.2469	13.2866	-0.100672	0.89115
FAM54B	23.5107	14.2917	-0.718136	0.38235
PDIK1L	2.5455	1.37249	-0.891157	0.37785
FAM110D	1.07089	0.706909	-0.599209	0.7098
ZNF593	44.9768	10.3303	-2.1223	0.06595
CNKSR1	0.878706	0.0288603	-4.92822	0.1632
CEP85	1.5142	0.777988	-0.960736	0.4211
SH3BGRL3	58.6938	42.2262	-0.475069	0.539
CD52	16.7026	5.79174	-1.528	0.34205
DHDDS	7.15003	4.26137	-0.746632	0.38535
HMGN2	86.9821	96.562	0.150736	0.84725
RPS6KA1	12.8786	1.36187	-3.24132	0.0092
ARID1A	6.2679	6.45798	0.0430999	0.9531
PIGV	15.4061	6.92177	-1.15429	0.1682
ZDHHC18	7.99457	4.87779	-0.712792	0.41725
NUDC	64.9183	32.3831	-1.00338	0.199
TRNP1	5.1528	0.346836	-3.89303	0.0301
WDTC1	18.4626	8.52117	-1.11548	0.15265
TMEM222	22.3303	14.1017	-0.663128	0.43335
LOC644961	0.303204	0.392073	0.370835	0.84
SYTL1	1.01652	0.569123	-0.836826	0.57425
FAM76A	1.9908	1.09283	-0.865284	0.46165
STX12	9.88614	5.58423	-0.82405	0.3231
PPP1R8	8.00568	5.68957	-0.492704	0.57065
C1orf38	4.66538	1.5287	-1.60969	0.18675
SMPDL3B	0.513533	0.312332	-0.717378	0.6538
XKR8	6.5797	7.58255	0.20466	0.825
ATPIF1	186.9	90.2858	-1.0497	0.2142
SESN2	8.51456	4.14865	-1.03729	0.2369
MED18	8.46099	5.68647	-0.573292	0.53845
PHACTR4	6.12819	4.90865	-0.320135	0.6789
RCC1	6.56856	4.61138	-0.510378	0.5803
TRNAU1AP	3.68165	1.94897	-0.917642	0.4507
RAB42	0.490427	0.288046	-0.767742	0.65455
GMEB1	1.04376	0.778661	-0.422718	0.7476
YTHDF2	13.903	10.7075	-0.376773	0.6369
EPB41	6.22978	3.0574	-1.02687	0.2956
PTPRU	12.7955	4.57123	-1.48499	0.0678
LOC100129196	0.272569	0.212678	-0.357949	0.8393
ZCCHC17	5.00087	3.72886	-0.423443	0.68825
SERINC2	183.785	35.4185	-2.37544	0.004
TINAGL1	14.7529	9.89339	-0.576463	0.5063
KHDRBS1	20.6322	25.0402	0.27935	0.71015
TMEM39B	4.48668	4.71153	0.0705463	0.94545
KPNA6	6.69479	5.22878	-0.356565	0.64045
TXLNA	15.0798	7.88095	-0.93618	0.2247
CCDC28B	1.19143	2.20167	0.885897	0.5596
IQCC	0.260311	0.497437	0.934279	0.5419
EIF3I	75.1972	45.8888	-0.712535	0.34395
FAM167B	11.9938	3.31991	-1.85307	0.13235
LCK	2.15755	0.720114	-1.5831	0.24185
HDAC1	20.7209	14.3969	-0.525328	0.50785
TSSK3	0.300487	0.253771	-0.243775	0.89465
ZBTB8A	0.670723	0.46996	-0.51318	0.6673
RBBP4	5.14527	3.54671	-0.536765	0.55335
KIAA1522	10.0492	7.07928	-0.505408	0.54585
S100PBP	1.31148	0.930607	-0.494947	0.84195
ADC	0.496251	0.546624	0.139478	0.92845
ZNF362	5.13019	4.51555	-0.184112	0.8402
GJB3	0.723069	0.245833	-1.55645	0.34135
GJA4	9.28644	6.91032	-0.426373	0.652
ZMYM1	0.636558	0.655999	0.0434001	0.9714
ZMYM4	3.10763	2.62391	-0.244097	0.7674
NCDN	2.62711	2.29433	-0.195399	0.84945
EIF2C4	2.37064	1.67627	-0.500017	0.58245
EIF2C1	3.36741	1.79657	-0.906394	0.292
EIF2C3	0.765719	0.455343	-0.749862	0.57905
ADPRHL2	8.88017	5.59096	-0.667492	0.49385
MAP7D1	5.38457	5.4835	0.0262679	0.97685
THRAP3	15.7193	13.8597	-0.181642	0.8042
SH3D21	0.278057	0.113693	-1.29024	0.44205
ZC3H12A	2.47344	0.911354	-1.44044	0.2598
DNALI1	6.55913	0.0475408	-7.10819	0.1403
CDCA8	0.359996	1.21987	1.76068	0.2415
